RowID,FIS Points,Nation,FIS code,Year,Athlete,Rank,Event Name,Date
1,150.00,KOR,9325017,1995,JEONG Haerim,1,FIS High1resort (KOR),2024-02-01
2,120.00,KOR,9325057,2002,JANG Seo Hee,2,FIS High1resort (KOR),2024-02-01
3,90.00,JPN,9305461,2004,OSHIMA Hinano,3,FIS High1resort (KOR),2024-02-01
4,75.00,KOR,9325006,1993,LEE Jung-eun,4,FIS High1resort (KOR),2024-02-01
5,67.50,JPN,9305432,2003,KANAZAWA Noa,5,FIS High1resort (KOR),2024-02-01
6,60.00,KOR,9325059,2002,JUNG Da Woon,6,FIS High1resort (KOR),2024-02-01
7,54.00,JPN,9305482,2003,KAMATA Mizuki,7,FIS High1resort (KOR),2024-02-01
8,48.00,JPN,9305403,2002,MURATA Noa,8,FIS High1resort (KOR),2024-02-01
9,43.50,JPN,9305437,2003,YOGO Sakura,9,FIS High1resort (KOR),2024-02-01
10,39.00,JPN,9305476,2005,MAEDA Suzumi,10,FIS High1resort (KOR),2024-02-01
11,36.00,KOR,9325058,2002,JEONG Soo Rim,11,FIS High1resort (KOR),2024-02-01
12,33.00,KOR,9325082,2006,JUNG Seo-Yeong,12,FIS High1resort (KOR),2024-02-01
13,30.00,KOR,9325085,2007,LEE Sujin,13,FIS High1resort (KOR),2024-02-01
14,27.00,KOR,9325090,2008,KIM Yena,14,FIS High1resort (KOR),2024-02-01
15,24.00,KOR,9325079,2006,YOO Jiwoo,15,FIS High1resort (KOR),2024-02-01
16,22.50,KOR,9325094,2008,LEE Yoojeong,16,FIS High1resort (KOR),2024-02-01
17,21.00,KOR,9325092,2007,CHO Sumin,17,FIS High1resort (KOR),2024-02-01
18,"",KOR,9325087,2007,HWANG Selim,18,FIS High1resort (KOR),2024-02-01
